iter	Passed	Remaining
0	2	255
1	5	249
2	7	240
3	9	238
4	12	239
5	14	234
6	17	233
7	20	232
8	22	230
9	25	227
10	27	225
11	30	222
12	32	219
13	35	219
14	38	217
15	40	212
16	42	208
17	45	205
18	47	203
19	49	199
20	52	196
21	54	193
22	56	190
23	58	186
24	61	183
25	63	180
26	65	177
27	67	174
28	69	171
29	71	167
30	74	165
31	76	162
32	78	159
33	80	157
34	83	154
35	85	152
36	88	150
37	90	147
38	92	144
39	94	142
40	97	139
41	99	137
42	101	134
43	102	130
44	105	128
45	107	126
46	110	124
47	112	121
48	114	119
49	116	116
50	118	113
51	120	111
52	122	108
53	124	106
54	126	103
55	127	100
56	129	97
57	130	94
58	132	92
59	134	89
60	137	87
61	139	85
62	141	83
63	143	80
64	146	78
65	148	76
66	149	73
67	151	71
68	153	69
69	155	66
70	157	64
71	159	61
72	161	59
73	163	57
74	165	55
75	167	52
76	170	50
77	172	48
78	173	46
79	175	43
80	177	41
81	179	39
82	181	37
83	183	35
84	186	32
85	188	30
86	191	28
87	193	26
88	195	24
89	197	21
90	199	19
91	201	17
92	203	15
93	205	13
94	208	10
95	210	8
96	212	6
97	215	4
98	217	2
99	219	0
