iter	RMSE
0	14.52338169
1	14.14440205
2	13.79326504
3	13.42794068
4	13.09532313
5	12.80257547
6	12.49471684
7	12.22411179
8	11.93658735
9	11.64132885
10	11.35303148
11	11.09120772
12	10.83960212
13	10.601253
14	10.37260027
15	10.12849995
16	9.921549218
17	9.720477912
18	9.516563232
19	9.325911462
20	9.182740218
21	9.012017979
22	8.850014432
23	8.68137895
24	8.53132406
25	8.391081745
26	8.257330695
27	8.12163709
28	7.996279276
29	7.873289197
30	7.760103891
31	7.638814714
32	7.531751789
33	7.435783872
34	7.337498855
35	7.244641598
36	7.150429683
37	7.081932308
38	6.998490313
39	6.925212507
40	6.844032219
41	6.773695548
42	6.71031468
43	6.651729975
44	6.586906101
45	6.530636477
46	6.470917499
47	6.417968593
48	6.36387822
49	6.309137191
50	6.263852469
51	6.22075332
52	6.173510495
53	6.130923351
54	6.086092124
55	6.045979928
56	6.008080302
57	5.977386601
58	5.947970469
59	5.918059742
60	5.888869709
61	5.861069071
62	5.829417984
63	5.798447705
64	5.770020928
65	5.741987492
66	5.718264727
67	5.692967386
68	5.666752404
69	5.640963979
70	5.620371376
71	5.599769547
72	5.582849823
73	5.563311128
74	5.544472262
75	5.528284984
76	5.511443427
77	5.490239728
78	5.471325633
79	5.453772184
80	5.438966832
81	5.427888441
82	5.421618725
83	5.410351755
84	5.395388033
85	5.382670307
86	5.370358122
87	5.358480225
88	5.347254741
89	5.333080818
90	5.320437038
91	5.310834589
92	5.299993651
93	5.29380379
94	5.282826673
95	5.270446291
96	5.260471946
97	5.251249237
98	5.247906553
99	5.239440942
100	5.232634098
101	5.228508507
102	5.219966186
103	5.213538488
104	5.203043805
105	5.194712555
106	5.186859163
107	5.181061767
108	5.173279256
109	5.167527832
110	5.161363486
111	5.157017335
112	5.148420309
113	5.141415951
114	5.135353605
115	5.126876498
116	5.119912315
117	5.113005752
118	5.104901993
119	5.099465508
120	5.092883796
121	5.089838906
122	5.084533561
123	5.07930885
124	5.075687834
125	5.069043672
126	5.0652794
127	5.059856039
128	5.056495692
129	5.050890622
130	5.046235064
131	5.040405497
132	5.033859334
133	5.027529339
134	5.020826408
135	5.015649059
136	5.009083794
137	5.002461125
138	4.998788242
139	4.996587085
140	4.992060632
141	4.990114691
142	4.982302019
143	4.975910856
144	4.967498332
145	4.963903632
146	4.960310815
147	4.951504493
148	4.94661662
149	4.942353311
150	4.936998874
151	4.932863119
152	4.927807758
153	4.919731015
154	4.91436493
155	4.910981896
156	4.904681411
157	4.899191364
158	4.895240125
159	4.889707458
160	4.885909968
161	4.879767121
162	4.877119473
163	4.874243339
164	4.870945723
165	4.868817373
166	4.863054461
167	4.85793942
168	4.853701958
169	4.848145847
170	4.845656663
171	4.843644236
172	4.83719587
173	4.833485093
174	4.831746213
175	4.828065195
176	4.825911852
177	4.819385465
178	4.815145327
179	4.812647922
180	4.807771885
181	4.805458605
182	4.798943263
183	4.793408312
184	4.789259164
185	4.785109041
186	4.782994927
187	4.778642236
188	4.776737764
189	4.772097326
